trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230523,000622.SZ,恒立实业,批发业,湖南,0.0,4.25,4.25,3.34,2.11,0.11,1.96,0.46,-0.007,0.45,10.03,19961107,-4.32,-1.02,-8.19,1.92,3.37,-5.16,25009
20230523,000623.SZ,吉林敖东,中成药,吉林,9.93,11.59,11.63,315.28,59.12,20.88,39.47,3.39,0.43,22.34,0.74,19961028,188.79,16.23,23.64,719.23,47.54,62.27,72741
20230523,000625.SZ,长安汽车,汽车整车,重庆,4.32,76.49,99.22,1741.09,1166.03,192.67,79.63,0.8,0.71,7.0,1.73,19970610,483.5,4.87,-0.06,53.65,18.56,19.37,736208
20230523,000626.SZ,远大控股,商贸代理,江苏,65.35,5.0,5.09,96.9,75.0,5.98,13.47,2.65,0.03,5.94,1.35,19961128,12.02,2.36,2.58,40.41,0.64,0.14,25034
20230523,000627.SZ,天茂集团,保险,湖北,93.17,45.53,49.41,2994.15,593.95,6.74,110.94,2.25,0.01,4.4,0.77,19961112,65.54,1.33,623.63,-69.31,0.69,0.39,75200
20230523,000628.SZ,高新发展,建筑工程,四川,40.88,1.92,3.52,128.55,116.94,0.49,9.01,2.56,0.09,5.03,2.9,19961118,4.94,1.4,2.06,173.36,14.84,2.88,19844
20230523,000629.SZ,钒钛股份,小金属,四川,26.96,85.89,86.02,119.68,39.96,54.25,37.04,0.43,0.038,1.06,3.89,19961115,-39.87,-0.46,-4.49,-29.95,14.26,8.33,311300
20230523,000630.SZ,铜陵有色,铜,安徽,11.76,105.26,105.27,620.4,393.6,167.25,46.93,0.45,0.062,2.46,1.19,19961120,90.81,0.86,18.6,3.96,4.85,2.1,321567
20230523,000631.SZ,顺发恒业,综合类,浙江,99.33,24.33,24.33,91.86,83.18,2.86,13.15,0.54,0.01,2.54,1.18,19961122,27.23,1.12,-14.48,-55.91,45.91,34.6,31628
20230523,000632.SZ,三木集团,综合类,福建,73.83,4.65,4.66,102.08,66.4,5.27,0.0,0.0,0.014,3.09,1.38,19961121,3.3,0.71,93.68,6.89,3.39,0.22,39414
20230523,000633.SZ,合金投资,小金属,新疆,753.33,3.85,3.85,2.58,1.48,0.82,0.48,0.12,0.003,0.45,20.62,19961112,-3.22,-0.84,-1.16,-49.33,9.09,2.56,21994
20230523,000635.SZ,英 力 特,化工原料,宁夏,0.0,3.03,3.05,27.11,9.58,12.88,18.88,6.2,-0.5,6.95,1.26,19961120,-1.87,-0.61,-8.44,-267.51,-32.67,-39.3,30380
20230523,000636.SZ,风华高科,元器件,广东,76.69,10.78,11.57,158.64,77.69,43.82,71.51,6.18,0.05,10.33,1.5,19961129,28.87,2.49,-15.25,-67.66,11.08,6.55,106920
20230523,000637.SZ,ST实华,石油加工,广东,0.0,3.68,5.2,26.79,6.77,9.28,0.14,0.03,-0.06,1.64,2.06,19961114,0.87,0.17,-33.81,-300.87,3.33,-2.28,37009
20230523,000638.SZ,万方发展,农业综合,吉林,0.0,3.09,3.1,5.52,3.5,0.48,1.57,0.51,-0.012,0.57,10.52,19961126,-2.87,-0.93,27.05,12.08,3.98,-11.42,41988
20230523,000639.SZ,西王食品,食品,山东,0.0,10.79,10.79,70.27,30.94,6.01,16.02,1.48,-0.04,3.02,1.5,19961126,3.84,0.36,6.33,-105.94,16.08,-3.42,25402
20230523,000650.SZ,仁和药业,中成药,江西,12.77,13.42,14.0,76.75,45.04,8.9,7.86,0.56,0.13,4.23,1.57,19961210,33.24,2.37,3.39,17.09,39.41,16.17,154479
20230523,000651.SZ,格力电器,家用电器,广东,12.01,55.92,56.31,3846.11,2773.81,338.57,8.18,0.15,0.73,18.1,1.94,19961118,953.16,16.93,0.56,2.65,27.42,11.01,660888
20230523,000652.SZ,泰达股份,批发业,天津,240.77,14.74,14.76,402.59,267.39,3.79,6.84,0.46,0.004,3.74,1.13,19961128,27.74,1.88,89.58,52.49,2.03,-1.21,101417
20230523,000655.SZ,金岭矿业,普钢,山东,59.69,5.95,5.95,35.58,20.8,2.68,4.88,0.82,0.03,5.18,1.27,19961128,16.49,2.77,-19.77,-59.74,19.95,6.39,37402
20230523,000656.SZ,金科股份,全国地产,重庆,0.0,53.11,53.4,2930.64,2444.57,25.63,69.03,1.29,-0.06,2.27,0.47,19961128,-39.8,-0.75,-21.47,-0.63,13.43,-1.19,166727
20230523,000657.SZ,中钨高新,小金属,海南,34.29,9.48,10.76,125.41,79.03,34.68,35.31,3.28,0.09,5.11,2.49,19961205,9.23,0.86,0.98,-7.4,17.23,3.96,49000
20230523,000659.SZ,珠海中富,广告包装,广东,0.0,12.86,12.86,20.78,4.25,10.92,2.81,0.22,-0.018,0.29,9.26,19961203,-16.66,-1.3,-11.35,-22.22,14.51,-8.58,42822
